slug,fichier,octets,sha256,etat,url
code-qtlx-vers-la-technologie-du,code-qtlx-vers-la-technologie-du/19c371cc-37e2-487d-a7ae-e6ee4b4138c1_991x1232.jpeg,1084876,5f939535ab4215f71017832141a61fd7fd2742089c98996a9aced76c1774f917,déjà présent,https://substack-post-media.s3.amazonaws.com/public/images/19c371cc-37e2-487d-a7ae-e6ee4b4138c1_991x1232.jpeg
code-qtlx-vers-la-technologie-du,code-qtlx-vers-la-technologie-du/3f68da21-8d84-48e9-b369-e10207d71c61_1080x705.jpeg,112042,a9751ec06626d14b6b3c46562025aac3bde9aebeef1c8008edd910ec21caa7ed,lien vers l'original,https://substack-post-media.s3.amazonaws.com/public/images/3f68da21-8d84-48e9-b369-e10207d71c61_1080x705.jpeg
code-qtlx-vers-la-technologie-du,code-qtlx-vers-la-technologie-du/52625758-703e-4231-abcb-283a89d015fc_991x1234.jpeg,762097,4df47a3c2fff4515ee7f69cf7c9c637c84d611be06ee5dbb2f646fca610983a4,déjà présent,https://substack-post-media.s3.amazonaws.com/public/images/52625758-703e-4231-abcb-283a89d015fc_991x1234.jpeg
code-qtlx-vers-la-technologie-du,code-qtlx-vers-la-technologie-du/55ebf29f-9e2b-409a-9048-c55d96674897_975x1235.jpeg,775512,78051d6b7bddead139f945855196378aa7ab6dd488eb3bdb04ea88ee7a8c5d65,déjà présent,https://substack-post-media.s3.amazonaws.com/public/images/55ebf29f-9e2b-409a-9048-c55d96674897_975x1235.jpeg
code-qtlx-vers-la-technologie-du,code-qtlx-vers-la-technologie-du/694789ab-6cfe-4021-abfb-b900df57589d_988x1225.jpeg,791060,48b9d00d0afa69d38ecec40fb94a8602f95f9d4263c905661e3b671712f4c0fb,déjà présent,https://substack-post-media.s3.amazonaws.com/public/images/694789ab-6cfe-4021-abfb-b900df57589d_988x1225.jpeg
code-qtlx-vers-la-technologie-du,code-qtlx-vers-la-technologie-du/6a8f7099-ddcf-4224-9217-f6152f27e183_986x1232.jpeg,769204,8eaf42f89b9719e4e3357ca6665dcb8bcfa89dad57376e0171a7f5197619f038,déjà présent,https://substack-post-media.s3.amazonaws.com/public/images/6a8f7099-ddcf-4224-9217-f6152f27e183_986x1232.jpeg
code-qtlx-vers-la-technologie-du,code-qtlx-vers-la-technologie-du/74f8d605-6894-4fc4-95ef-51c9fe3213d3_989x1229.jpeg,774405,20163f440b724a159ee529b017af51faee181b97a7eed5f38867b7545ac9427b,déjà présent,https://substack-post-media.s3.amazonaws.com/public/images/74f8d605-6894-4fc4-95ef-51c9fe3213d3_989x1229.jpeg
code-qtlx-vers-la-technologie-du,code-qtlx-vers-la-technologie-du/79859f3c-c088-44c1-b21e-40fe14accddc_980x1221.jpeg,409858,de8e913c4005f14e4303662d2255662453339a51d43c753cf17b47a000ff9773,déjà présent,https://substack-post-media.s3.amazonaws.com/public/images/79859f3c-c088-44c1-b21e-40fe14accddc_980x1221.jpeg
code-qtlx-vers-la-technologie-du,code-qtlx-vers-la-technologie-du/b5f2c035-741b-42b3-aca5-8f230ecbffab_985x1229.jpeg,793828,94a01908fcf06706d860b85add6cb930c6cf94312314e2c098b8316055e01a2e,déjà présent,https://substack-post-media.s3.amazonaws.com/public/images/b5f2c035-741b-42b3-aca5-8f230ecbffab_985x1229.jpeg
code-qtlx-vers-la-technologie-du,code-qtlx-vers-la-technologie-du/c1e8f806-3987-4721-892b-4d37ea54c353_986x1230.jpeg,754191,221e7dbdf534be0338305d097fb3e13e8bcf59ed6425b1742ea81e46f31b3eb0,déjà présent,https://substack-post-media.s3.amazonaws.com/public/images/c1e8f806-3987-4721-892b-4d37ea54c353_986x1230.jpeg
code-qtlx-vers-la-technologie-du,code-qtlx-vers-la-technologie-du/c678281e-643d-435a-861f-952ac8e78757_986x1239.jpeg,732855,c38ac1d83e780a51935cf21812d31465aa728055f10804083d46d9f677a886f7,déjà présent,https://substack-post-media.s3.amazonaws.com/public/images/c678281e-643d-435a-861f-952ac8e78757_986x1239.jpeg
